course_id,lecture_id,lecture_index_global,lecture_title,lecture_duration,lecture_type,lecture_index_section,section_title,section_index
1007766,6056422,1,Introduction,02:20,lecture,1,How to create Paypal Payment buttons,1
1007766,6056440,2,What we will create,02:53,lecture,2,How to create Paypal Payment buttons,1
1007766,6056424,3,How to create Paypal Buy Now Button  - Part 1,10:01,lecture,3,How to create Paypal Payment buttons,1
1007766,6056426,4,How to create Paypal Buy Now Button  - Part 2,09:06,lecture,4,How to create Paypal Payment buttons,1
1007766,6056428,5,How to create Paypal Add to Cart Button  - Part 1,09:00,lecture,5,How to create Paypal Payment buttons,1
1007766,6056430,6,How to create Paypal Add to Cart Button  - Part 2,12:30,lecture,6,How to create Paypal Payment buttons,1
1007766,6056434,7,How to create Paypal Gift certificate Button,11:39,lecture,7,How to create Paypal Payment buttons,1
1007766,6056436,8,How to create Paypal Donate Button,04:27,lecture,8,How to create Paypal Payment buttons,1
1007766,26915904,9,Thank You,00:09,lecture,9,How to create Paypal Payment buttons,1
