course_id,lecture_id,lecture_index_global,lecture_title,lecture_duration,lecture_type,lecture_index_section,section_title,section_index
2643064,16940158,1,¿Qué cubre el curso?,03:34,lecture,1,Parte 1: Introducción,1
2643064,16940168,2,Ciencia de Datos y jerga de Negocios: ¿Por qué hay tanta?,05:21,lecture,1,El campo de la ciencia de datos - Las distintas disciplinas,2
2643064,4751844,1,Ciencia de Datos y jerga de Negocios: ¿Por qué hay tanta?,1 question,quiz,2,El campo de la ciencia de datos - Las distintas disciplinas,2
2643064,16940166,3,Cuál es la diferencia entre el análisis y la analítica,03:50,lecture,3,El campo de la ciencia de datos - Las distintas disciplinas,2
2643064,4751846,2,Cuál es la diferencia entre el análisis y la analítica,1 question,quiz,4,El campo de la ciencia de datos - Las distintas disciplinas,2
2643064,16940164,4,"Analítica de negocio, analítica de datos y ciencia de datos: una introducción",08:24,lecture,5,El campo de la ciencia de datos - Las distintas disciplinas,2
2643064,4751848,3,"Analítica de negocio, analítica de datos y ciencia de datos: una introducción",3 questions,quiz,6,El campo de la ciencia de datos - Las distintas disciplinas,2
2643064,16940162,5,"Continuando con la IN, AA e IA",09:31,lecture,7,El campo de la ciencia de datos - Las distintas disciplinas,2
2643064,4751850,4,"Continuando con la IN, AA e IA",2 questions,quiz,8,El campo de la ciencia de datos - Las distintas disciplinas,2
2643064,16940160,6,Un desglose de nuestra Infografía de Ciencia de Datos,04:03,lecture,9,El campo de la ciencia de datos - Las distintas disciplinas,2
2643064,4751852,5,Un desglose de nuestra Infografía de Ciencia de Datos,1 question,quiz,10,El campo de la ciencia de datos - Las distintas disciplinas,2
2643064,16940174,7,"Aplicando datos tradicionales, macrodatos, IN, ciencia de datos tradicional y AA",07:19,lecture,1,El Campo de la Ciencia de Datos - Conectando las Disciplinas,3
2643064,4751854,6,"Aplicando datos tradicionales, macrodatos, IN, ciencia de datos tradicional y AA",1 question,quiz,2,El Campo de la Ciencia de Datos - Conectando las Disciplinas,3
2643064,16940176,8,La razón tras estas disciplinas,03:45,lecture,1,El campo de la ciencia de datos - Los beneficios de cada disciplina,4
