course_id,lecture_id,lecture_index_global,lecture_title,lecture_duration,lecture_type,lecture_index_section,section_title,section_index
2643056,16828150,1,Kursinhalt,03:34,lecture,1,– Teil 1: Einführung,1
2643056,16912886,2,Data Science und Business-Begriffe: Wir bringen Licht ins Dunkel,05:22,lecture,1,– Die Wissenschaft der Data Science – Die Disziplinen der Data Science,2
2643056,4746134,1,Data Science und Business-Begriffe: Wir bringen Licht ins Dunkel,1 question,quiz,2,– Die Wissenschaft der Data Science – Die Disziplinen der Data Science,2
2643056,16912890,3,Der Unterschied zwischen „Analyse“ und „Analytics“,03:50,lecture,3,– Die Wissenschaft der Data Science – Die Disziplinen der Data Science,2
2643056,4746136,2,Der Unterschied zwischen „Analyse“ und „Analytics“,1 question,quiz,4,– Die Wissenschaft der Data Science – Die Disziplinen der Data Science,2
2643056,16912892,4,"Einführung in Business Analytics, Data Analytics und Data Science",08:23,lecture,5,– Die Wissenschaft der Data Science – Die Disziplinen der Data Science,2
2643056,4746138,3,"Einführung in Business Analytics, Data Analytics und Data Science",3 questions,quiz,6,– Die Wissenschaft der Data Science – Die Disziplinen der Data Science,2
2643056,16912898,5,"Business Intelligence, maschinelles Lernen und KI",09:31,lecture,7,– Die Wissenschaft der Data Science – Die Disziplinen der Data Science,2
2643056,4746140,4,"Business Intelligence, maschinelles Lernen und KI",2 questions,quiz,8,– Die Wissenschaft der Data Science – Die Disziplinen der Data Science,2
2643056,16912900,6,Data-Science-Infografik: Ein Überblick,04:03,lecture,9,– Die Wissenschaft der Data Science – Die Disziplinen der Data Science,2
2643056,4746142,5,Data-Science-Infografik: Ein Überblick,1 question,quiz,10,– Die Wissenschaft der Data Science – Die Disziplinen der Data Science,2
2643056,16912940,7,"Anwendung von klassischen Daten, Big Data, BI, traditioneller Data Science + ML",07:19,lecture,1,– Die Wissenschaft der Data Science – Data-Science-Disziplinen im Zusammenhang,3
2643056,4746144,6,"Anwendung von klassischen Daten, Big Data, BI, klassischer Data Science + ML",1 question,quiz,2,– Die Wissenschaft der Data Science – Data-Science-Disziplinen im Zusammenhang,3
