course_id,lecture_id,lecture_index_global,lecture_title,lecture_duration,lecture_type,lecture_index_section,section_title,section_index
612904,3665844,1,Introduction,04:02,lecture,1,Introduction to Me And The Course,1
612904,3667392,2,How this course fits into the CEFR Framework,2 pages,lecture,2,Introduction to Me And The Course,1
612904,3694170,3,Warm-Up!,1 page,lecture,1,Planning a Meeting,2
612904,3672400,4,Why have meetings?,08:31,lecture,2,Planning a Meeting,2
612904,3699572,5,Reading Activity - Formal or Informal Meetings?,1 page,lecture,3,Planning a Meeting,2
612904,3672402,6,Sending Meeting Invitations - by Email and Telephoning,05:12,lecture,4,Planning a Meeting,2
612904,3672404,7,Culture Tip - Using First Names,02:07,lecture,5,Planning a Meeting,2
612904,3672410,8,Preparing the Agenda,06:44,lecture,6,Planning a Meeting,2
612904,3672412,9,Changing the Meeting Date,07:49,lecture,7,Planning a Meeting,2
612904,3672414,10,Greeting Participants and Engaging in Small Talk,10:46,lecture,1,During the Meeting,3
612904,3672418,11,During the Meeting - Opening Remarks and Key Phrases,10:46,lecture,2,During the Meeting,3
612904,3672420,12,Making a Point and Reporting on Progress,11:37,lecture,3,During the Meeting,3
612904,3672730,13,Clarifying Information and Politely Interrupting,08:53,lecture,4,During the Meeting,3
612904,3673294,14,Managing Disagreements During the Meeting,20:00,lecture,5,During the Meeting,3
612904,3672870,15,Focus on - The Minutes,15:22,lecture,6,During the Meeting,3
612904,3672868,16,Closing The Meeting: Finishing Up,03:41,lecture,7,During the Meeting,3
612904,3672858,17,Thank you From Me!,02:05,lecture,1,Wrapping Things Up,4
