course_id,lecture_id,lecture_index_global,lecture_title,lecture_duration,lecture_type,lecture_index_section,section_title,section_index
3495448,22296378,1,مقدمة 1,10:25,lecture,1,ادارة التشغيل,1
3495448,22296384,2,مقدمة 2,09:31,lecture,2,ادارة التشغيل,1
3495448,22296390,3,آدم سميث,07:39,lecture,3,ادارة التشغيل,1
3495448,22296398,4,عنق الزجاجة,08:31,lecture,4,ادارة التشغيل,1
3495448,22296402,5,عنق الزجاجة 2,08:43,lecture,5,ادارة التشغيل,1
3495448,22296408,6,عنق الزجاجة 3,06:49,lecture,6,ادارة التشغيل,1
3495448,22296412,7,what is process,08:06,lecture,7,ادارة التشغيل,1
3495448,22296414,8,مفاهيم ادارة الانتاج,11:18,lecture,8,ادارة التشغيل,1
3495448,22296416,9,flow time,08:27,lecture,9,ادارة التشغيل,1
3495448,22296418,10,Little's Law,09:40,lecture,10,ادارة التشغيل,1
3495448,22296420,11,Little's Law 2,11:44,lecture,11,ادارة التشغيل,1
3495448,22296424,12,Little's Law 3,05:14,lecture,12,ادارة التشغيل,1
3495448,22296426,13,مناقشة,07:21,lecture,13,ادارة التشغيل,1
3495448,22296428,14,ماكدونالدز وادارة التشغيل,13:51,lecture,14,ادارة التشغيل,1
3495448,22296442,15,lead time,11:02,lecture,15,ادارة التشغيل,1
3495448,22296448,16,مراجعة,05:20,lecture,16,ادارة التشغيل,1
