course_id,lecture_id,lecture_index_global,lecture_title,lecture_duration,lecture_type,lecture_index_section,section_title,section_index
3848374,25803560,1,Introduction about course,05:02,lecture,1,Introduction about the course,1
3848374,25804010,2,Desired Audience,03:01,lecture,2,Introduction about the course,1
3848374,25804290,3,Pre-requisites,04:24,lecture,3,Introduction about the course,1
3848374,27787798,4,[Must Watch] 30 Day Money Back Guarantee - Feedback and Rating,02:33,lecture,4,Introduction about the course,1
3848374,25811134,5,Training Approach,04:45,lecture,5,Introduction about the course,1
3848374,25811316,6,Overview of Environments for Hands on Practice (Must Watch),03:16,lecture,6,Introduction about the course,1
3848374,27765320,7,Free Download - Course Material,01:04,lecture,7,Introduction about the course,1
3848374,27787794,8,[Must Watch] Setting up Course Material,08:07,lecture,8,Introduction about the course,1
3848374,29120978,9,How to access data sets used in this course?,00:22,lecture,9,Introduction about the course,1
3848374,25811216,10,Getting Started with Cloud9,03:09,lecture,1,Setting up Environment using AWS Cloud9,2
3848374,25811268,11,Creating Cloud9 Environment,05:13,lecture,2,Setting up Environment using AWS Cloud9,2
3848374,25811312,12,Warming up with Cloud9 IDE,03:45,lecture,3,Setting up Environment using AWS Cloud9,2
3848374,25811590,13,Details about material to setup postgres database using docker,01:58,lecture,4,Setting up Environment using AWS Cloud9,2
3848374,25811728,14,Overview of EC2 related to Cloud9,01:35,lecture,5,Setting up Environment using AWS Cloud9,2
3848374,25812536,15,Opening ports for Cloud9 Instance,03:34,lecture,6,Setting up Environment using AWS Cloud9,2
3848374,25812572,16,Associating Elastic IPs to Cloud9 Instance,04:45,lecture,7,Setting up Environment using AWS Cloud9,2
3848374,25812626,17,Increase EBS Volume Size of Cloud9 Instance,03:24,lecture,8,Setting up Environment using AWS Cloud9,2
3848374,25812806,18,Setup Jupyter Lab on Cloud9,07:33,lecture,9,Setting up Environment using AWS Cloud9,2
3848374,25812878,19,[Commands] Setup Jupyter Lab on Cloud9,00:15,lecture,10,Setting up Environment using AWS Cloud9,2
3848374,24943040,20,Signing up for GCP,03:25,lecture,1,Setting up Environment - Overview of GCP and Provision Ubuntu VM,3
3848374,24943370,21,Overview of GCP Web Console,02:01,lecture,2,Setting up Environment - Overview of GCP and Provision Ubuntu VM,3
3848374,24943372,22,Overview of GCP Pricing,06:10,lecture,3,Setting up Environment - Overview of GCP and Provision Ubuntu VM,3
3848374,24943374,23,Provision Ubuntu VM from GCP,07:41,lecture,4,Setting up Environment - Overview of GCP and Provision Ubuntu VM,3
3848374,24943376,24,Setup Docker,08:16,lecture,5,Setting up Environment - Overview of GCP and Provision Ubuntu VM,3
3848374,24943378,25,Validating Python,04:05,lecture,6,Setting up Environment - Overview of GCP and Provision Ubuntu VM,3
3848374,24943380,26,Setup Jupyter Lab,10:29,lecture,7,Setting up Environment - Overview of GCP and Provision Ubuntu VM,3
3848374,28141532,27,Enable telnet on Windows,03:03,lecture,1,Networking Concepts for Beginners - ip addresses and port numbers,4
3848374,28141540,28,Different IP Address Types,03:17,lecture,2,Networking Concepts for Beginners - ip addresses and port numbers,4
3848374,28141544,29,Port Numbers associated with Applications or Services,07:21,lecture,3,Networking Concepts for Beginners - ip addresses and port numbers,4
3848374,28141548,30,Reverting port for SSH to default port number,02:29,lecture,4,Networking Concepts for Beginners - ip addresses and port numbers,4
3848374,28141558,31,Setup Apache2 on Ubuntu,06:18,lecture,5,Networking Concepts for Beginners - ip addresses and port numbers,4
3848374,28141562,32,Overview of localhost,02:50,lecture,6,Networking Concepts for Beginners - ip addresses and port numbers,4
3848374,28141578,33,Overview of Private IP Address associated with a server,04:01,lecture,7,Networking Concepts for Beginners - ip addresses and port numbers,4
3848374,28141588,34,Overview of Public IP Address associated with a server,04:51,lecture,8,Networking Concepts for Beginners - ip addresses and port numbers,4
3848374,28141596,35,Setup Web Application and access using local ip,05:02,lecture,9,Networking Concepts for Beginners - ip addresses and port numbers,4
3848374,28141600,36,Setup Web Application and access using private ip,04:01,lecture,10,Networking Concepts for Beginners - ip addresses and port numbers,4
3848374,28141608,37,Disable Access to Web Application using Public ip,03:29,lecture,11,Networking Concepts for Beginners - ip addresses and port numbers,4
3848374,28141614,38,Install sshuttle on Mac using brew,02:39,lecture,12,Networking Concepts for Beginners - ip addresses and port numbers,4
3848374,28141622,39,Access Web Application using Private IP using SSH as proxy,05:58,lecture,13,Networking Concepts for Beginners - ip addresses and port numbers,4
3848374,24944182,40,Introduction - Setup Postgres Database,01:20,lecture,1,Setting up Environment - Setup Postgres Database on Ubuntu VM,5
