course_id,lecture_id,lecture_index_global,lecture_title,lecture_duration,lecture_type,lecture_index_section,section_title,section_index
3519626,22377574,1,اختيار المكان,06:51,lecture,1,المكان والتوزيع,1
3519626,22380684,2,أهمية التوزيع- الجزء الأول,07:17,lecture,2,المكان والتوزيع,1
3519626,22380690,3,أهمية التوزيع- الجزء الثاني,07:27,lecture,3,المكان والتوزيع,1
3519626,22380698,4,أهمية التوزيع- الجزء الثالث,05:43,lecture,4,المكان والتوزيع,1
3519626,22380702,5,استرتيجيات التوزيع - الجزء الاول,07:07,lecture,5,المكان والتوزيع,1
3519626,22380706,6,استرتيجيات التوزيع - الجزء الثاني,10:23,lecture,6,المكان والتوزيع,1
3519626,22380708,7,استرتيجيات التوزيع - الجزء الثالث,10:01,lecture,7,المكان والتوزيع,1
3519626,22380710,8,استرتيجيات التوزيع - الجزء الرابع,10:43,lecture,8,المكان والتوزيع,1
3519626,22380732,9,استرتيجيات التوزيع - الجزء الخامس,09:40,lecture,9,المكان والتوزيع,1
3519626,22380744,10,استرتيجيات التوزيع - الجزء السادس,07:10,lecture,10,المكان والتوزيع,1
3519626,22380734,11,استرتيجيات التوزيع - الجزء السابع,04:53,lecture,11,المكان والتوزيع,1
3519626,22380758,12,استرتيجيات التوزيع - الجزء الثامن,09:42,lecture,12,المكان والتوزيع,1
3519626,22380766,13,اسس نجاح التوزيع,03:33,lecture,13,المكان والتوزيع,1
