course_id,lecture_id,lecture_index_global,lecture_title,lecture_duration,lecture_type,lecture_index_section,section_title,section_index
3284452,20763402,1,مقدمة,02:09,lecture,1,مقدمة,1
3284452,20765288,2,ما هو تحليل سوات؟,01:22,lecture,2,مقدمة,1
3284452,20771292,3,1,03:52,lecture,1,تحليل سوات,2
3284452,20772110,4,2,03:48,lecture,2,تحليل سوات,2
3284452,20772118,5,3,10:30,lecture,3,تحليل سوات,2
3284452,20774334,6,4,02:19,lecture,4,تحليل سوات,2
3284452,20774580,7,5,04:43,lecture,5,تحليل سوات,2
3284452,20774678,8,6,05:05,lecture,6,تحليل سوات,2
3284452,20774736,9,7,03:36,lecture,7,تحليل سوات,2
3284452,20822744,10,8,04:18,lecture,8,تحليل سوات,2
3284452,20823172,11,9,03:20,lecture,9,تحليل سوات,2
